id_wypozyczenia,id_pracownika,id_auta,id_klienta,id_rodzaj_wypozyczenia,stan_licznika_przed,data_wypozyczenia,id_rezerwacji,id_oddzialu,uwagi
45,368,379,8,395,569066,18/04/2022,611,136,uwagi
46,737,527,464,491,565966,15/04/2022,547,794,uwagi
47,873,934,464,917,554106,07/04/2022,607,801,uwagi
48,983,168,135,52,542691,06/04/2022,261,606,uwagi
49,393,613,492,761,599085,04/04/2022,499,155,uwagi
50,682,109,291,419,563534,18/04/2022,755,909,uwagi
51,295,301,702,168,523434,07/04/2022,166,84,uwagi
52,776,772,885,758,593956,08/04/2022,19,810,uwagi
53,367,280,415,760,589194,05/04/2022,906,520,uwagi
54,883,404,675,565,551240,05/04/2022,965,983,uwagi
55,148,719,891,443,501973,10/04/2022,593,611,uwagi
56,255,759,695,30,552994,11/04/2022,579,788,uwagi
57,470,598,597,836,587734,13/04/2022,12,596,uwagi
58,770,917,115,653,532066,19/04/2022,789,217,uwagi
59,834,754,199,981,547203,14/04/2022,90,424,uwagi
60,492,683,34,746,544028,19/04/2022,729,776,uwagi
61,971,307,563,440,590421,05/04/2022,159,276,uwagi
62,782,170,871,551,508665,07/04/2022,986,203,uwagi
63,408,775,420,241,552736,05/04/2022,619,222,uwagi
64,1000,708,645,492,538951,05/04/2022,679,238,uwagi
65,830,407,13,801,571321,10/04/2022,575,240,uwagi
66,618,734,516,399,590353,19/04/2022,387,950,uwagi
67,991,372,153,398,514559,16/04/2022,572,638,uwagi
68,673,190,860,673,589736,11/04/2022,504,164,uwagi
69,287,183,401,117,558875,14/04/2022,413,917,uwagi
70,302,988,157,920,572119,07/04/2022,672,319,uwagi
71,625,58,269,615,542946,18/04/2022,421,13,uwagi
72,576,993,651,249,518250,14/04/2022,510,921,uwagi
73,80,14,84,367,519526,05/04/2022,485,484,uwagi
74,785,898,401,86,588479,19/04/2022,557,6,uwagi
75,606,229,324,231,528619,14/04/2022,592,846,uwagi
76,716,13,858,291,500512,13/04/2022,509,539,uwagi
77,188,18,460,268,503057,18/04/2022,543,635,uwagi
78,226,28,118,10,592455,12/04/2022,518,96,uwagi
79,810,75,102,416,530232,04/04/2022,425,646,uwagi
80,589,17,492,305,502913,06/04/2022,350,595,uwagi
81,35,858,134,222,587532,13/04/2022,593,490,uwagi
82,906,136,124,132,516294,07/04/2022,242,142,uwagi
83,88,759,238,897,583296,09/04/2022,339,313,uwagi
84,136,764,959,724,578007,19/04/2022,450,28,uwagi
85,810,800,623,844,565698,13/04/2022,757,66,uwagi
86,533,350,555,439,548473,09/04/2022,679,570,uwagi
87,648,920,712,736,567841,11/04/2022,949,632,uwagi
88,512,288,945,647,505092,06/04/2022,903,371,uwagi
89,831,352,399,641,515105,10/04/2022,22,484,uwagi
90,809,778,549,341,512678,18/04/2022,104,779,uwagi
91,612,783,349,260,570160,06/04/2022,60,995,uwagi
92,381,9,627,892,529632,18/04/2022,571,539,uwagi
93,348,473,909,179,582447,09/04/2022,307,819,uwagi
94,976,329,303,784,510574,09/04/2022,852,124,uwagi
95,233,955,903,845,573685,16/04/2022,251,104,uwagi
96,439,311,98,819,531964,17/04/2022,724,710,uwagi
97,616,295,248,964,576696,19/04/2022,157,142,uwagi
98,592,464,960,567,579123,19/04/2022,262,351,uwagi
99,897,114,475,130,506782,06/04/2022,377,974,uwagi
100,805,628,77,244,593850,16/04/2022,175,62,uwagi
101,259,899,772,875,519258,10/04/2022,20,838,uwagi
102,960,176,979,551,563872,17/04/2022,939,118,uwagi
103,430,201,469,327,531369,17/04/2022,943,457,uwagi
104,382,320,430,187,594734,15/04/2022,507,430,uwagi
105,886,681,491,144,557921,16/04/2022,263,19,uwagi
106,772,282,856,732,545712,09/04/2022,835,283,uwagi
107,96,773,401,526,597353,11/04/2022,869,853,uwagi
108,288,812,310,669,513102,11/04/2022,739,855,uwagi
109,79,246,285,965,592663,16/04/2022,776,109,uwagi
110,506,38,127,278,531893,16/04/2022,982,9,uwagi
111,777,816,292,872,558873,11/04/2022,692,398,uwagi
112,563,560,251,850,537137,13/04/2022,560,519,uwagi
113,503,299,374,581,554409,06/04/2022,658,545,uwagi
114,471,433,654,977,546980,12/04/2022,780,255,uwagi
115,789,762,264,565,557692,12/04/2022,555,437,uwagi
116,166,246,835,728,580573,14/04/2022,85,578,uwagi
117,178,645,96,680,594258,08/04/2022,469,261,uwagi
118,487,127,806,958,555842,06/04/2022,459,934,uwagi
119,29,238,189,817,599882,14/04/2022,452,382,uwagi
120,576,6,819,742,525129,18/04/2022,653,470,uwagi
121,58,738,47,235,538156,19/04/2022,143,914,uwagi
122,325,611,174,811,573693,11/04/2022,980,769,uwagi
123,296,438,703,324,567518,15/04/2022,891,141,uwagi
124,674,342,523,250,534693,19/04/2022,341,992,uwagi
125,599,994,461,656,573076,12/04/2022,508,890,uwagi
126,113,650,803,437,526029,13/04/2022,977,248,uwagi
127,998,956,16,293,539332,19/04/2022,718,617,uwagi
128,69,608,757,743,594911,19/04/2022,279,993,uwagi
129,297,620,984,895,561283,04/04/2022,444,550,uwagi
130,344,951,439,456,560028,15/04/2022,242,893,uwagi
131,861,219,140,858,517454,10/04/2022,156,151,uwagi
132,568,873,767,637,548036,14/04/2022,524,379,uwagi
133,430,803,372,726,542150,06/04/2022,355,620,uwagi
134,35,799,170,378,574918,16/04/2022,609,834,uwagi
135,350,850,727,211,506862,16/04/2022,866,68,uwagi
136,244,21,219,812,589355,15/04/2022,985,448,uwagi
137,374,508,827,804,530987,14/04/2022,198,529,uwagi
138,732,552,149,766,535002,08/04/2022,318,144,uwagi
139,100,927,978,449,577605,17/04/2022,704,659,uwagi
140,845,570,727,88,559039,11/04/2022,945,899,uwagi
141,484,930,347,858,543728,19/04/2022,173,662,uwagi
142,748,370,191,479,592155,13/04/2022,339,245,uwagi
143,272,657,388,371,558273,17/04/2022,366,820,uwagi
144,359,69,479,204,563842,17/04/2022,205,292,uwagi
145,229,150,191,713,507876,14/04/2022,537,571,uwagi
146,517,709,232,264,507866,18/04/2022,422,742,uwagi
147,1,761,986,272,541730,16/04/2022,374,643,uwagi
148,1,740,462,359,580803,16/04/2022,941,563,uwagi
149,447,145,854,676,529406,11/04/2022,44,389,uwagi
150,373,581,959,889,528901,13/04/2022,191,153,uwagi
151,368,613,894,368,537297,06/04/2022,880,640,uwagi
152,791,254,283,791,599258,09/04/2022,745,150,uwagi
153,801,685,712,248,582903,04/04/2022,565,923,uwagi
154,124,609,311,496,518882,14/04/2022,269,385,uwagi
155,478,460,537,846,507166,15/04/2022,431,214,uwagi
156,445,311,854,235,556384,07/04/2022,136,26,uwagi
157,557,880,175,358,556380,16/04/2022,886,605,uwagi
158,393,451,527,516,505939,06/04/2022,837,12,uwagi
159,249,106,397,727,556487,12/04/2022,934,572,uwagi
160,637,365,785,82,567451,12/04/2022,638,317,uwagi
161,239,774,342,795,565277,17/04/2022,516,152,uwagi
162,217,402,756,610,585216,12/04/2022,283,126,uwagi
163,912,119,138,160,522431,09/04/2022,534,886,uwagi
164,790,468,458,426,583151,05/04/2022,243,507,uwagi
165,507,881,823,745,565359,07/04/2022,165,540,uwagi
166,307,681,691,523,508146,05/04/2022,447,133,uwagi
167,934,729,258,846,584763,19/04/2022,395,5,uwagi
168,72,929,891,862,539601,16/04/2022,349,287,uwagi
169,228,591,794,734,547074,18/04/2022,617,478,uwagi
170,125,782,18,431,546109,11/04/2022,708,954,uwagi
171,543,155,86,477,588348,05/04/2022,344,322,uwagi
172,732,739,327,804,566704,06/04/2022,218,665,uwagi
173,64,566,952,291,515554,13/04/2022,745,25,uwagi
174,627,362,503,751,514260,04/04/2022,520,182,uwagi
175,604,227,135,147,538159,07/04/2022,221,623,uwagi
176,266,565,944,997,530273,14/04/2022,270,800,uwagi
177,970,487,464,33,505209,16/04/2022,415,324,uwagi
178,208,160,348,834,552074,05/04/2022,850,585,uwagi
179,664,369,766,268,559552,07/04/2022,901,414,uwagi
180,978,122,36,243,568583,13/04/2022,980,239,uwagi
181,989,250,38,959,573636,19/04/2022,501,992,uwagi
182,789,916,315,997,507458,05/04/2022,663,831,uwagi
183,596,512,415,259,588009,06/04/2022,181,526,uwagi
184,476,82,939,453,520256,17/04/2022,975,695,uwagi
185,889,955,934,877,520341,08/04/2022,971,836,uwagi
186,940,472,827,729,538713,17/04/2022,141,725,uwagi
187,462,803,555,58,531450,19/04/2022,969,316,uwagi
188,195,150,842,671,523040,18/04/2022,781,123,uwagi
189,433,756,818,322,570908,14/04/2022,752,199,uwagi
190,913,722,34,853,519355,15/04/2022,861,581,uwagi
191,581,1,305,43,580394,05/04/2022,860,100,uwagi
192,119,829,416,314,597745,16/04/2022,257,984,uwagi
193,208,37,107,641,579201,10/04/2022,924,963,uwagi
194,502,675,161,414,539670,08/04/2022,195,266,uwagi
195,591,55,847,171,505505,08/04/2022,152,214,uwagi
196,859,11,313,978,583851,10/04/2022,728,291,uwagi
197,816,985,274,24,502146,13/04/2022,380,665,uwagi
198,814,304,627,315,597858,10/04/2022,788,729,uwagi
199,376,982,995,966,503544,11/04/2022,841,137,uwagi
200,91,992,350,950,500196,14/04/2022,663,927,uwagi
201,841,391,218,657,537499,10/04/2022,492,681,uwagi
202,397,871,345,210,517450,17/04/2022,972,525,uwagi
203,154,759,253,529,574026,18/04/2022,247,494,uwagi
204,776,88,631,867,507866,08/04/2022,981,816,uwagi
205,81,643,743,922,503324,11/04/2022,960,578,uwagi
206,409,451,258,805,532179,05/04/2022,603,15,uwagi
207,497,575,540,650,533314,18/04/2022,792,178,uwagi
208,74,39,672,850,512558,09/04/2022,303,716,uwagi
209,205,283,531,285,592495,18/04/2022,274,206,uwagi
210,959,234,784,367,568441,18/04/2022,42,172,uwagi
211,7,644,186,503,521814,13/04/2022,725,152,uwagi
212,552,517,330,625,555521,09/04/2022,2,474,uwagi
213,681,304,190,886,558549,06/04/2022,721,170,uwagi
214,511,994,376,469,522695,10/04/2022,160,836,uwagi
215,912,201,7,918,584463,15/04/2022,192,421,uwagi
216,63,917,572,615,543354,09/04/2022,902,239,uwagi
217,989,903,713,670,520612,11/04/2022,902,555,uwagi
218,792,622,725,303,561509,10/04/2022,101,771,uwagi
219,843,260,606,754,546054,09/04/2022,612,671,uwagi
220,306,804,92,368,572071,12/04/2022,663,982,uwagi
221,155,565,221,143,546733,19/04/2022,934,813,uwagi
222,674,835,368,466,545639,10/04/2022,92,768,uwagi
223,72,192,538,914,545178,17/04/2022,144,667,uwagi
224,913,756,338,218,555937,08/04/2022,429,586,uwagi
225,281,92,568,435,565635,12/04/2022,789,578,uwagi
226,124,722,390,798,555616,13/04/2022,757,263,uwagi
227,13,849,30,85,504046,09/04/2022,568,998,uwagi
228,493,711,665,405,546620,18/04/2022,3,623,uwagi
229,26,432,208,306,552308,13/04/2022,775,740,uwagi
230,180,563,318,304,528431,16/04/2022,708,101,uwagi
231,841,465,363,854,531255,15/04/2022,392,938,uwagi
232,354,959,935,846,566962,05/04/2022,600,250,uwagi
233,136,602,872,162,503270,18/04/2022,80,468,uwagi
234,556,855,208,736,541717,08/04/2022,525,39,uwagi
235,702,232,139,542,569548,04/04/2022,502,395,uwagi
236,9,893,333,362,585172,19/04/2022,267,207,uwagi
237,522,866,457,658,546725,07/04/2022,329,819,uwagi
238,500,408,286,56,526161,12/04/2022,493,791,uwagi
239,679,17,830,381,524827,13/04/2022,968,923,uwagi
240,944,469,318,952,536168,08/04/2022,650,313,uwagi
241,214,916,520,735,578179,06/04/2022,976,392,uwagi
242,250,304,211,749,571080,15/04/2022,496,805,uwagi
243,973,989,596,652,500537,08/04/2022,425,32,uwagi
244,254,393,954,198,586170,17/04/2022,271,150,uwagi
245,224,921,463,437,583624,15/04/2022,982,172,uwagi
246,619,957,564,868,525991,13/04/2022,774,617,uwagi
247,971,270,421,944,525821,18/04/2022,17,595,uwagi
248,264,442,626,518,583422,09/04/2022,580,715,uwagi
249,696,851,864,920,577069,12/04/2022,326,357,uwagi
250,607,308,528,225,526353,13/04/2022,91,93,uwagi
251,524,865,709,495,513434,05/04/2022,129,438,uwagi
252,393,146,32,657,558664,05/04/2022,658,174,uwagi
253,421,237,888,117,508732,09/04/2022,752,37,uwagi
254,859,78,393,465,538466,05/04/2022,920,690,uwagi
255,649,11,782,172,587516,10/04/2022,490,666,uwagi
256,10,619,104,403,576399,05/04/2022,135,59,uwagi
257,351,793,232,772,502891,18/04/2022,120,889,uwagi
258,117,872,925,975,594901,07/04/2022,317,440,uwagi
259,334,237,130,982,524652,06/04/2022,911,154,uwagi
260,122,401,820,132,501969,19/04/2022,923,534,uwagi
261,784,58,592,135,584905,11/04/2022,823,906,uwagi
262,878,943,795,995,581386,09/04/2022,719,969,uwagi
263,763,35,408,97,527073,18/04/2022,537,79,uwagi
264,518,448,232,639,584871,13/04/2022,52,771,uwagi
265,869,974,304,653,503054,10/04/2022,895,787,uwagi
266,880,718,693,758,566019,05/04/2022,487,752,uwagi
267,475,205,721,237,523932,11/04/2022,128,334,uwagi
268,511,665,412,28,511238,05/04/2022,644,667,uwagi
269,962,695,437,830,566844,06/04/2022,740,482,uwagi
270,699,635,268,579,535213,11/04/2022,961,337,uwagi
271,13,447,88,487,565103,05/04/2022,809,724,uwagi
272,891,936,57,401,560059,05/04/2022,469,428,uwagi
273,713,113,94,675,580716,17/04/2022,531,504,uwagi
274,476,271,986,175,590450,18/04/2022,254,754,uwagi
275,257,214,90,269,565973,13/04/2022,178,756,uwagi
276,311,986,479,202,592119,08/04/2022,536,602,uwagi
277,522,4,30,235,511614,15/04/2022,124,909,uwagi
278,924,654,413,399,592362,14/04/2022,398,574,uwagi
279,829,651,327,85,586391,10/04/2022,416,354,uwagi
280,524,594,110,835,557824,05/04/2022,588,36,uwagi
281,500,124,638,22,512689,11/04/2022,667,256,uwagi
282,244,790,165,167,544305,08/04/2022,578,566,uwagi
283,367,975,139,195,562528,12/04/2022,466,280,uwagi
284,490,882,634,13,547416,11/04/2022,743,848,uwagi
285,53,330,883,552,545297,12/04/2022,520,574,uwagi
286,580,187,830,823,597551,16/04/2022,994,990,uwagi
287,419,571,555,786,554561,07/04/2022,694,980,uwagi
288,171,159,260,661,503956,12/04/2022,893,673,uwagi
289,514,636,521,567,596505,05/04/2022,403,118,uwagi
290,419,923,692,998,510859,12/04/2022,521,821,uwagi
291,85,514,810,503,508478,16/04/2022,365,288,uwagi
292,631,58,268,802,521599,18/04/2022,528,462,uwagi
293,256,421,135,770,505525,15/04/2022,655,336,uwagi
294,21,58,454,439,597970,12/04/2022,145,437,uwagi
295,89,665,257,173,517830,04/04/2022,67,676,uwagi
296,264,432,963,894,548897,14/04/2022,231,695,uwagi
297,705,759,157,961,517832,18/04/2022,291,730,uwagi
298,234,945,66,254,500177,16/04/2022,519,693,uwagi
299,982,664,129,70,532753,16/04/2022,386,243,uwagi
300,506,453,918,769,588369,05/04/2022,881,663,uwagi
301,373,111,358,78,586896,05/04/2022,514,39,uwagi
302,48,804,768,281,574825,07/04/2022,834,535,uwagi
303,751,352,227,732,501486,12/04/2022,356,802,uwagi
304,343,741,44,849,519295,05/04/2022,961,618,uwagi
305,77,841,280,450,595139,12/04/2022,637,527,uwagi
306,821,151,566,868,595364,04/04/2022,333,149,uwagi
307,702,167,684,452,551794,06/04/2022,911,184,uwagi
308,533,266,985,876,500616,07/04/2022,28,724,uwagi
309,200,989,341,276,582910,14/04/2022,621,726,uwagi
310,781,257,252,601,540696,13/04/2022,817,469,uwagi
311,361,150,617,63,531605,14/04/2022,301,515,uwagi
312,834,211,698,367,547586,08/04/2022,683,243,uwagi
313,483,711,966,682,569894,14/04/2022,307,957,uwagi
314,529,927,682,309,518321,11/04/2022,934,910,uwagi
315,591,751,378,951,590072,06/04/2022,995,14,uwagi
316,217,295,528,51,550527,09/04/2022,226,418,uwagi
317,982,908,660,464,561825,07/04/2022,626,145,uwagi
318,318,932,102,846,585740,18/04/2022,784,154,uwagi
319,41,717,64,631,546774,16/04/2022,441,582,uwagi
320,369,436,595,586,573052,05/04/2022,123,636,uwagi
321,236,348,54,217,525567,13/04/2022,714,681,uwagi
322,874,339,825,192,526931,14/04/2022,926,37,uwagi
323,127,709,191,168,542562,16/04/2022,254,799,uwagi
324,894,695,380,262,512963,19/04/2022,975,848,uwagi
325,861,97,484,96,544469,19/04/2022,537,313,uwagi
326,701,250,993,575,558790,12/04/2022,818,766,uwagi
327,858,743,802,984,545164,16/04/2022,992,152,uwagi
328,878,245,950,771,593893,08/04/2022,329,33,uwagi
329,69,304,880,929,540025,10/04/2022,363,25,uwagi
330,845,900,338,546,514879,16/04/2022,331,120,uwagi
331,737,148,885,594,589085,11/04/2022,687,578,uwagi
332,343,679,730,220,592332,11/04/2022,679,991,uwagi
333,863,8,23,931,531077,07/04/2022,903,860,uwagi
334,712,265,885,556,516382,06/04/2022,222,102,uwagi
335,313,553,221,50,570014,11/04/2022,106,644,uwagi
336,591,793,222,934,547085,08/04/2022,951,154,uwagi
337,395,629,144,257,563587,17/04/2022,167,188,uwagi
338,947,69,47,658,533342,12/04/2022,931,214,uwagi
339,498,153,315,810,570489,04/04/2022,536,860,uwagi
340,406,642,503,997,543396,10/04/2022,724,930,uwagi
341,905,674,83,299,530202,11/04/2022,227,556,uwagi
342,938,393,743,885,546138,16/04/2022,790,543,uwagi
343,795,721,756,293,587291,05/04/2022,71,102,uwagi
344,578,607,962,983,524795,19/04/2022,464,979,uwagi
345,682,187,909,587,586042,06/04/2022,992,886,uwagi
346,163,218,442,101,561003,18/04/2022,184,985,uwagi
347,72,974,528,867,569331,13/04/2022,283,159,uwagi
348,567,354,261,145,595997,18/04/2022,222,127,uwagi
349,208,685,106,890,587164,08/04/2022,14,477,uwagi
350,733,5,363,895,522227,07/04/2022,804,995,uwagi
351,833,987,980,904,596004,06/04/2022,507,770,uwagi
352,654,790,929,220,514306,17/04/2022,189,364,uwagi
353,104,410,491,311,509433,07/04/2022,597,201,uwagi
354,966,610,678,699,561494,12/04/2022,40,593,uwagi
355,838,843,588,670,582983,11/04/2022,567,574,uwagi
356,790,74,344,444,586319,07/04/2022,272,663,uwagi
357,7,460,27,110,586924,09/04/2022,517,421,uwagi
358,964,113,621,930,572276,14/04/2022,299,628,uwagi
359,338,338,221,175,518061,14/04/2022,808,845,uwagi
360,11,375,418,801,544801,08/04/2022,761,244,uwagi
361,312,33,907,318,549169,08/04/2022,933,427,uwagi
362,361,450,847,325,556214,11/04/2022,468,255,uwagi
363,285,767,882,623,510394,05/04/2022,102,798,uwagi
364,285,910,642,296,528336,17/04/2022,60,96,uwagi
365,732,821,339,43,585233,04/04/2022,246,360,uwagi
366,345,178,787,705,562711,10/04/2022,634,30,uwagi
367,190,102,284,475,586766,16/04/2022,166,97,uwagi
368,972,267,895,257,517569,19/04/2022,537,552,uwagi
369,460,596,647,191,541595,15/04/2022,986,233,uwagi
370,269,231,593,613,540816,09/04/2022,380,318,uwagi
371,36,14,347,225,511477,19/04/2022,631,699,uwagi
372,983,796,796,955,506184,09/04/2022,690,211,uwagi
373,238,226,762,697,582153,14/04/2022,408,887,uwagi
374,238,394,120,506,562352,06/04/2022,713,119,uwagi
375,32,93,436,67,510584,06/04/2022,782,292,uwagi
376,221,413,991,204,520721,12/04/2022,786,158,uwagi
377,270,476,368,507,570116,04/04/2022,129,204,uwagi
378,523,537,91,761,592949,18/04/2022,211,266,uwagi
379,554,924,384,585,501561,17/04/2022,820,652,uwagi
380,122,602,944,343,501325,18/04/2022,934,546,uwagi
381,221,719,703,490,519420,17/04/2022,70,997,uwagi
382,896,198,200,419,573436,11/04/2022,290,179,uwagi
383,664,500,445,217,542260,07/04/2022,829,802,uwagi
384,439,648,454,560,524858,15/04/2022,397,902,uwagi
385,262,330,447,483,504846,05/04/2022,150,972,uwagi
386,243,219,968,139,541638,05/04/2022,168,557,uwagi
387,151,457,735,815,595618,18/04/2022,179,32,uwagi
388,379,7,833,817,565392,16/04/2022,287,377,uwagi
389,903,683,279,165,501201,04/04/2022,726,647,uwagi
390,61,875,619,304,509264,10/04/2022,587,442,uwagi
391,510,754,998,660,521016,07/04/2022,732,475,uwagi
392,167,910,506,546,591643,15/04/2022,339,363,uwagi
393,571,625,739,473,530738,19/04/2022,18,638,uwagi
394,320,743,284,380,561665,07/04/2022,903,684,uwagi
395,710,489,125,219,524215,13/04/2022,122,879,uwagi
396,453,853,353,619,576280,15/04/2022,859,164,uwagi
397,680,198,526,250,582195,18/04/2022,265,723,uwagi
398,130,282,360,449,502415,13/04/2022,644,829,uwagi
399,641,546,512,351,503424,18/04/2022,636,569,uwagi
400,277,758,447,729,561017,13/04/2022,799,348,uwagi
401,373,658,512,53,585420,04/04/2022,37,302,uwagi
402,677,302,25,806,558329,09/04/2022,384,255,uwagi
403,608,28,83,249,557274,07/04/2022,595,599,uwagi
404,607,231,167,884,598759,12/04/2022,614,613,uwagi
405,598,413,960,971,506940,09/04/2022,471,23,uwagi
406,924,508,325,600,580902,06/04/2022,349,406,uwagi
407,393,733,660,1000,575969,17/04/2022,743,249,uwagi
408,333,337,847,940,556706,18/04/2022,14,823,uwagi
409,555,627,435,153,503862,07/04/2022,395,124,uwagi
410,109,865,147,32,537235,08/04/2022,471,632,uwagi
411,182,820,37,574,555218,08/04/2022,697,574,uwagi
412,312,439,822,645,577506,10/04/2022,668,584,uwagi
413,343,681,407,897,530731,09/04/2022,842,50,uwagi
414,346,236,173,454,510059,19/04/2022,319,486,uwagi
415,473,790,117,655,560878,15/04/2022,154,229,uwagi
416,161,850,802,473,528796,16/04/2022,623,118,uwagi
417,64,291,701,406,597158,06/04/2022,108,302,uwagi
418,279,949,352,625,518447,12/04/2022,524,79,uwagi
419,286,842,565,759,563099,08/04/2022,682,413,uwagi
420,240,835,641,401,568461,09/04/2022,442,874,uwagi
421,973,65,991,36,535530,19/04/2022,692,441,uwagi
422,327,799,743,606,574765,18/04/2022,94,231,uwagi
423,933,618,310,218,545891,10/04/2022,874,976,uwagi
424,90,556,388,330,539006,13/04/2022,28,731,uwagi
425,75,470,604,48,553430,19/04/2022,595,83,uwagi
426,890,287,524,217,508512,18/04/2022,267,823,uwagi
427,833,360,53,765,597690,09/04/2022,363,983,uwagi
428,436,236,958,526,579098,15/04/2022,345,856,uwagi
429,182,373,586,256,584238,07/04/2022,190,303,uwagi
430,377,785,386,267,507067,08/04/2022,910,483,uwagi
431,156,176,305,989,553516,18/04/2022,358,754,uwagi
432,513,720,736,948,595579,14/04/2022,693,474,uwagi
433,747,38,329,928,541040,06/04/2022,915,184,uwagi
434,253,105,487,630,588899,08/04/2022,873,896,uwagi
435,960,782,379,116,595678,18/04/2022,684,105,uwagi
436,492,42,858,4,576115,12/04/2022,594,952,uwagi
437,717,286,426,464,532359,09/04/2022,755,392,uwagi
438,734,670,575,987,577367,07/04/2022,62,617,uwagi
439,663,934,512,623,571499,16/04/2022,891,738,uwagi
440,672,574,842,164,561519,16/04/2022,700,168,uwagi
441,377,293,120,94,557829,09/04/2022,545,557,uwagi
442,902,300,949,636,596847,13/04/2022,524,623,uwagi
443,743,585,239,405,551845,15/04/2022,751,28,uwagi
444,234,642,765,906,521529,09/04/2022,607,69,uwagi
445,831,306,237,207,559835,19/04/2022,357,301,uwagi
446,177,902,858,79,520037,05/04/2022,806,715,uwagi
447,169,329,338,911,591381,17/04/2022,576,316,uwagi
448,433,327,343,666,596812,04/04/2022,108,571,uwagi
449,184,715,640,14,502032,05/04/2022,877,221,uwagi
450,619,233,521,796,513350,12/04/2022,378,874,uwagi
451,334,184,589,503,551225,14/04/2022,926,414,uwagi
452,427,502,730,859,582797,12/04/2022,73,524,uwagi
453,797,180,95,980,589433,04/04/2022,735,994,uwagi
454,915,612,215,534,584347,10/04/2022,735,329,uwagi
455,977,113,203,311,529602,13/04/2022,791,814,uwagi
456,809,716,228,235,521718,14/04/2022,957,93,uwagi
457,46,29,617,842,520892,15/04/2022,712,821,uwagi
458,104,447,815,18,505712,09/04/2022,29,552,uwagi
459,901,764,880,878,587583,15/04/2022,83,189,uwagi
460,172,874,2,981,558906,17/04/2022,230,215,uwagi
461,807,186,308,852,521486,13/04/2022,924,693,uwagi
462,424,636,514,528,508124,09/04/2022,328,545,uwagi
463,139,356,97,39,511887,08/04/2022,977,917,uwagi
464,995,59,105,167,593143,08/04/2022,107,147,uwagi
465,521,337,362,327,552201,14/04/2022,669,179,uwagi
466,737,592,871,161,522694,17/04/2022,385,688,uwagi
467,309,712,233,447,506746,07/04/2022,329,486,uwagi
468,187,305,403,182,536311,18/04/2022,507,348,uwagi
469,295,614,495,816,594991,07/04/2022,856,142,uwagi
470,472,524,320,209,511535,16/04/2022,191,370,uwagi
471,343,575,58,651,528658,19/04/2022,290,98,uwagi
472,355,619,583,541,592324,17/04/2022,985,722,uwagi
473,287,492,70,581,510528,08/04/2022,564,396,uwagi
474,56,419,538,528,594223,09/04/2022,858,736,uwagi
475,58,49,106,400,562309,11/04/2022,163,51,uwagi
476,910,453,148,264,507064,13/04/2022,730,805,uwagi
